Name,green length,green width
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\1', 'Soehoejlandet Golf ResortP_S_1000_03.png']",36,13
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\2', 'Soehoejlandet Golf ResortP_S_1000_02.png']",33,16
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\3', 'sonderjyllands_1250_001.png']",25,22
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\4', 'Soehoejlandet Golf ResortP_S_2000_09.png']",30,14
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\5', 'Soehoejlandet Golf ResortP_S_2000_07.png']",23,15
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\6', 'sonderjyllands_1250_002.png']",24,22
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\7', 'Soehoejlandet Golf ResortP_S_2000_06.png']",28,19
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\8', 'Soelleroed Golfklub_2000_14.png']",26,22
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\9', 'sonderborg_1500_016.png']",26,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\10', 'sonderborg_2000_021.png']",0,0
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\11', 'sonderborg_1500_006.png']",23,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\12', 'tange_so_2000_016.png']",18,11
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\13', 'Soelleroed Golfklub_2000_02.png']",25,20
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\14', 'tange_so_1500_017.png']",26,17
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\15', 'tange_so_2000_014.png']",29,18
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\16', 'Soelleroed Golfklub_2000_01.png']",26,17
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\17', 'sonderborg_2000_020.png']",0,0
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\18', 'sonderjyllands_2000_16.png']",31,18
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\19', 'tange_so_2000_012.png']",23,21
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\20', 'Soelleroed Golfklub_2000_03.png']",26,17
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\21', 'sonderborg_1500_015.png']",27,24
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\22', 'tange_so_2000_015.png']",22,18
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\23', 'Soehoejlandet Golf ResortP_S_1000_07.png']",34,13
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\24', 'Soelleroed Golfklub_2000_04.png']",23,11
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\25', 'Soelleroed Golfklub_2000_18.png']",34,21
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\26', 'sonderborg_1500_012.png']",27,18
"['C:\\Users\\jespe\\Aalborg Universitet\\AVS1 - Golf Project - General\\1. Project\\3. Data\\saved_test_images_best_model\\27', 'Soehoejlandet Golf ResortP_S_2000_12.png']",20,18
